iter	Passed	Remaining
183	760	3374
184	762	3358
185	764	3343
186	767	3337
187	771	3333
188	773	3320
189	775	3307
190	778	3297
191	781	3289
192	783	3275
193	785	3264
194	788	3253
195	790	3240
196	793	3234
197	796	3228
198	799	3216
199	801	3206
200	804	3197
201	810	3200
202	812	3188
203	814	3179
204	817	3168
205	819	3158
206	824	3158
207	826	3147
208	829	3138
209	832	3130
210	835	3123
211	840	3124
212	842	3113
213	859	3156
214	861	3146
215	867	3150
216	876	3162
217	879	3153
218	884	3154
219	887	3145
220	890	3137
221	892	3126
222	898	3130
223	908	3146
224	916	3156
225	919	3149
226	926	3155
227	931	3154
228	936	3153
229	938	3143
230	942	3138
231	948	3141
232	957	3151
233	963	3154
234	966	3145
235	973	3150
236	975	3139
237	981	3141
238	987	3144
239	989	3134
240	996	3137
241	998	3126
242	1000	3117
243	1003	3107
244	1005	3097
245	1010	3098
246	1013	3088
247	1015	3078
248	1017	3068
249	1019	3059
250	1024	3057
251	1026	3047
252	1028	3037
253	1030	3027
254	1033	3018
255	1035	3008
256	1039	3005
257	1041	2995
258	1043	2985
259	1045	2976
260	1048	2969
261	1051	2961
262	1053	2953
263	1056	2944
264	1058	2935
265	1060	2927
266	1064	2921
267	1066	2912
268	1068	2903
269	1070	2895
270	1073	2886
271	1075	2878
272	1079	2874
273	1081	2866
274	1083	2857
275	1094	2871
276	1097	2864
277	1099	2856
278	1101	2847
279	1104	2838
280	1107	2832
281	1109	2824
282	1111	2816
283	1113	2807
284	1115	2799
285	1117	2791
286	1122	2788
287	1127	2786
288	1129	2778
289	1131	2770
290	1134	2763
291	1138	2760
292	1140	2752
293	1142	2744
294	1145	2736
295	1147	2728
296	1151	2725
297	1153	2717
298	1155	2709
299	1157	2701
300	1168	2712
301	1172	2710
302	1174	2702
303	1177	2695
304	1181	2691
305	1183	2683
306	1184	2674
307	1186	2665
308	1188	2657
309	1190	2649
310	1193	2644
311	1195	2636
312	1197	2628
313	1199	2620
314	1201	2612
315	1203	2605
316	1207	2602
317	1210	2595
318	1213	2589
319	1216	2584
320	1221	2583
321	1223	2577
322	1225	2569
323	1228	2562
324	1230	2554
325	1234	2552
326	1237	2547
327	1239	2540
328	1241	2532
329	1243	2524
330	1245	2517
331	1247	2510
332	1249	2503
333	1251	2495
334	1253	2488
335	1255	2480
336	1257	2473
337	1259	2466
338	1261	2460
339	1263	2452
340	1265	2445
341	1267	2438
342	1268	2430
343	1270	2423
344	1272	2416
345	1275	2410
346	1277	2403
347	1280	2398
348	1281	2391
349	1283	2384
350	1285	2376
351	1288	2372
352	1290	2365
353	1292	2358
354	1294	2351
355	1296	2344
356	1298	2338
357	1301	2334
358	1303	2327
359	1306	2322
360	1308	2315
361	1309	2308
362	1311	2301
363	1314	2296
364	1316	2291
365	1318	2284
366	1320	2277
367	1322	2271
368	1324	2264
369	1327	2261
370	1329	2254
371	1335	2254
372	1337	2248
373	1339	2241
374	1342	2236
375	1348	2237
376	1351	2233
377	1356	2232
378	1362	2232
379	1370	2236
380	1372	2230
381	1375	2225
382	1377	2219
383	1379	2213
384	1381	2207
385	1385	2204
386	1388	2199
387	1390	2193
388	1392	2187
389	1394	2180
390	1397	2175
391	1398	2169
392	1400	2163
393	1402	2157
394	1404	2151
395	1406	2145
396	1408	2138
397	1412	2135
398	1413	2129
399	1415	2123
400	1417	2118
401	1419	2111
402	1421	2105
403	1428	2107
404	1431	2102
405	1433	2097
406	1436	2092
407	1438	2087
408	1440	2082
409	1442	2076
410	1444	2070
411	1447	2065
412	1450	2060
413	1451	2055
414	1453	2049
415	1455	2043
416	1460	2041
417	1462	2035
418	1464	2030
419	1466	2025
420	1468	2019
421	1470	2013
422	1474	2011
423	1476	2006
424	1479	2002
425	1482	1997
426	1484	1992
427	1490	1991
